Tip artera	Denumire artera	Numar	Codpostal	Sector	Oficiu distribuire
Strad?	"Mincu Ion, arh."	nr. 21-T	011357	1	Bucure?ti 2
Strad?	"Mincu Ion, arh."	nr. 14-T	011359	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 1-25	011421	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 27-45	011422	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 47-69	011423	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 71-T	011424	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 2-24	011425	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 26-50	011426	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 52-72	011427	1	Bucure?ti 2
Strad?	Porumbaru Emanoil	nr. 74-T	011428	1	Bucure?ti 2
Strad?	Popa Savu	nr. 1-33	011431	1	Bucure?ti 2
Strad?	Popa Savu	nr. 35-T	011432	1	Bucure?ti 2
Strad?	Popa Savu	nr. 2-40	011433	1	Bucure?ti 2
Strad?	Popa Savu	nr. 42-T	011434	1	Bucure?ti 2
Strad?	Dr?ghiceanu Virgil	nr. 1-T	011435	1	Bucure?ti 2
Strad?	Dr?ghiceanu Virgil	nr. 2-T	011436	1	Bucure?ti 2
Strad?	"Cantacuzino Ioan, prof. dr."	nr. 1-T	011437	1	Bucure?ti 2
Strad?	"Cantacuzino Ioan, prof. dr."	nr. 2-T	011438	1	Bucure?ti 2
Strad?	Uruguay	nr. 17-T	011444	1	Bucure?ti 2
Strad?	Uruguay	nr. 16-T	011446	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 9-29	011342	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 31-55	011343	1	Bucure?ti 2
?osea	"Kiseleff Pavel Dimitrievici, g-ral."	nr. 6-24	011346	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 1-5	011401	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 2-14	011403	1	Bucure?ti 2
Strad?	Tuberozelor		011411	1	Bucure?ti 2
Strad?	Br?tianu Gheorghe	nr. 1-T	011412	1	Bucure?ti 2
Strad?	Br?tianu Gheorghe	nr. 2-32	011413	1	Bucure?ti 2
Strad?	Br?tianu Gheorghe	nr. 34-T	011414	1	Bucure?ti 2
Strad?	"Burcu? ?tefan, arh."		011415	1	Bucure?ti 2
Intrare	"Burcu? ?tefan, arh."		011416	1	Bucure?ti 2
Strad?	Alexandrina	nr. 1-T	011441	1	Bucure?ti 2
Strad?	Alexandrina	nr. 2-T	011442	1	Bucure?ti 2
Strad?	Uruguay	nr. 1-15	011443	1	Bucure?ti 2
Strad?	Uruguay	nr. 2-14	011445	1	Bucure?ti 2
Strad?	"?on?u Gheorghe, mr."	nr. 1-T	011447	1	Bucure?ti 2
Strad?	"?on?u Gheorghe, mr."	nr. 2-T	011448	1	Bucure?ti 2
Bulevard	Prezan Constantin	nr. 1-T	011451	1	Bucure?ti 2
Bulevard	Prezan Constantin	nr. 2-T	011452	1	Bucure?ti 2
Pia??	Arcul de Triumf		011453	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 108-126	011203	1	Bucure?ti 2
Pia??	"Mândrescu Simion, prof. univ."		011399	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 1-T	011454	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 2-32	011455	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 34-42	011456	1	Bucure?ti 2
Bulevard	"Averescu Alexandru, mare?al"	nr. 44-T	011457	1	Bucure?ti 2
Intrare	Miciurin V.I.		011458	1	Bucure?ti 2
Strad?	M?n?stirea Ca?in		011459	1	Bucure?ti 2
Bulevard	M?r??ti	nr. 19-29	011462	1	Bucure?ti 2
Bulevard	M?r??ti	nr. 2-16	011467	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 128-138	011204	1	Bucure?ti 2
Bulevard	M?r??ti	nr. 1-17	011461	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 1-35	011471	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 37-T	011472	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 2-28	011473	1	Bucure?ti 2
Strad?	Constantinescu Alexandru	nr. 30-T	011474	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 1-29	011475	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 31-T	011476	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 2-32	011477	1	Bucure?ti 2
Strad?	"S?n?tescu ?tefan, mr. av."	nr. 34-T	011478	1	Bucure?ti 2
Alee	"Stâlpeanu M. Gheorghe, lt. av."	nr. 1-T	011481	1	Bucure?ti 2
Alee	"Stâlpeanu M. Gheorghe, lt. av."	nr. 2-T	011482	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 15A-31	011352	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 33-T	011353	1	Bucure?ti 2
Strad?	Delavrancea Barbu	nr. 4-T	011355	1	Bucure?ti 2
Strad?	Clucerului	nr. 1-15	011361	1	Bucure?ti 2
Strad?	Clucerului	nr. 17-27	011362	1	Bucure?ti 2
Strad?	Clucerului	nr. 2-24	011365	1	Bucure?ti 2
Strad?	Clucerului	nr. 26-52	011366	1	Bucure?ti 2
Strad?	"Ionescu Nicolae, prof."		011371	1	Bucure?ti 2
Intrare	Zamfirescu-Leonida Eliza		011372	1	Bucure?ti 2
Strad?	Ady Endre	nr. 1-T	011373	1	Bucure?ti 2
Strad?	Ady Endre	nr. 2-T	011374	1	Bucure?ti 2
Strad?	Postelnicului		011375	1	Bucure?ti 2
Intrare	C?lug?reanu Anda		011381	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 5A-T	011402	1	Bucure?ti 2
Strad?	Docen?ilor	nr. 16-T	011404	1	Bucure?ti 2
Strad?	"Petöfi ?ándor, poet"	nr. 1-T	011405	1	Bucure?ti 2
Strad?	"Petöfi ?ándor, poet"	nr. 2-T	011406	1	Bucure?ti 2
Strad?	Gandhi Mahatma		011407	1	Bucure?ti 2
Strad?	"Doroban?u Vasile, serg."		011408	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 100-104	011201	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 106	011202	1	Bucure?ti 2
Strad?	Clucerului	nr. 29-43	011363	1	Bucure?ti 2
Strad?	Clucerului	nr. 45-T	011364	1	Bucure?ti 2
Strad?	Clucerului	nr. 54-64	011367	1	Bucure?ti 2
Strad?	Clucerului	nr. 66-T	011368	1	Bucure?ti 2
Intrare	1 Mai		011369	1	Bucure?ti 2
Strad?	Pivnicerului		011382	1	Bucure?ti 2
Strad?	Paharnicului	nr. 1-T	011383	1	Bucure?ti 2
Strad?	Paharnicului	nr. 2-T	011384	1	Bucure?ti 2
Intrare	?etrarului		011385	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 1-T	011386	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 2-8	011387	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 10-16	011388	1	Bucure?ti 2
Strad?	Boiangiu Radu	nr. 18-T	011389	1	Bucure?ti 2
Strad?	Racot? Nicolae	nr. 1-T	011391	1	Bucure?ti 2
Strad?	Racot? Nicolae	nr. 2-8	011392	1	Bucure?ti 2
Strad?	Racot? Nicolae	nr. 10-T	011393	1	Bucure?ti 2
Strad?	Stolnicului		011394	1	Bucure?ti 2
Strad?	"Mirea George Demetrescu, pictor"	nr. 1-T	011395	1	Bucure?ti 2
Strad?	"Mirea George Demetrescu, pictor"	nr. 2-T	011396	1	Bucure?ti 2
Strad?	Medelnicerului		011397	1	Bucure?ti 2
Intrare	Stolnicului		011398	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 119-121	011136	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 76-90	011145	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 92-T	011146	1	Bucure?ti 2
Strad?	Valea Merilor	nr. 1-T	011271	1	Bucure?ti 2
Strad?	Valea Merilor	nr. 2-T	011272	1	Bucure?ti 2
Strad?	Comana	nr. 1-T	011273	1	Bucure?ti 2
Strad?	Comana	nr. 2-T	011274	1	Bucure?ti 2
Strad?	Lovinescu Eugen	nr. 1-T	011275	1	Bucure?ti 2
Strad?	Lovinescu Eugen	nr. 2-T	011276	1	Bucure?ti 2
Strad?	Ialomicioarei	nr. 1-T	011277	1	Bucure?ti 2
Strad?	Ialomicioarei	nr. 2-T	011278	1	Bucure?ti 2
Strad?	Bahluiului	nr. 1-T	011281	1	Bucure?ti 2
Strad?	Bahluiului	nr. 2-T	011282	1	Bucure?ti 2
Strad?	"Zaharia, slt."	nr. 1-T	011283	1	Bucure?ti 2
Strad?	"Zaharia, slt."	nr. 2-T	011284	1	Bucure?ti 2
Cale	Grivi?ei	nr. 217-285	010713	1	Bucure?ti 2
Cale	Grivi?ei	nr. 160-166	010746	1	Bucure?ti 2
Cale	Grivi?ei	nr. 168-172	010747	1	Bucure?ti 2
Cale	Grivi?ei	nr. 174-176	010748	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 123-163	011137	1	Bucure?ti 2
?osea	Titulescu Nicolae	nr. 165-T	011138	1	Bucure?ti 2
Strad?	Marinescu Costache	nr. 1-T	011285	1	Bucure?ti 2
Strad?	Marinescu Costache	nr. 2-T	011286	1	Bucure?ti 2
Strad?	Cipariu Timotei		011287	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 1-13	011291	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 15-47	011292	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 2-54	011294	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 1-35	011235	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 37-T	011236	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 2-32	011237	1	Bucure?ti 2
Strad?	"Câmpeanu Alexandru, mr."	nr. 34-T	011238	1	Bucure?ti 2
Intrare	"Câmpeanu Alexandru, mr."		011239	1	Bucure?ti 2
Strad?	C?ld?ru?ani		011241	1	Bucure?ti 2
Strad?	Maica Alexandra	nr. 1-T	011242	1	Bucure?ti 2
Strad?	Maica Alexandra	nr. 2-T	011243	1	Bucure?ti 2
Strad?	Mironiuc Vasile		011244	1	Bucure?ti 2
Strad?	"Vl?doianu Barbu, g-ral."	nr. 1-T	011251	1	Bucure?ti 2
Strad?	"Vl?doianu Barbu, g-ral."	nr. 2-10	011252	1	Bucure?ti 2
Strad?	"Vl?doianu Barbu, g-ral."	nr. 12-T	011253	1	Bucure?ti 2
Strad?	Neculce Ion	nr. 1-T	011254	1	Bucure?ti 2
Strad?	Neculce Ion	nr. 2-38	011255	1	Bucure?ti 2
Strad?	Neculce Ion	nr. 40-T	011256	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 9-29	011222	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 31-T	011223	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 2-10	011224	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 12-16	011225	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 18-22	011226	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 24-T	011227	1	Bucure?ti 2
Strad?	Sarandy Frosa	nr. 1-T	011231	1	Bucure?ti 2
Strad?	Sarandy Frosa	nr. 2-T	011232	1	Bucure?ti 2
Strad?	Manolescu Grigore	nr. 1-T	011233	1	Bucure?ti 2
Strad?	Manolescu Grigore	nr. 2-T	011234	1	Bucure?ti 2
Strad?	"R?ducanu Grigore, sold."	nr. 1-T	011245	1	Bucure?ti 2
Strad?	"R?ducanu Grigore, sold."	nr. 2-T	011246	1	Bucure?ti 2
Strad?	Iulian ?tefan	nr. 1-T	011247	1	Bucure?ti 2
Strad?	Iulian ?tefan	nr. 2-T	011248	1	Bucure?ti 2
Bulevard	Mihalache Ion	nr. 81-91	011175	1	Bucure?ti 2
Bulevard	Banul Manta	nr. 1-7	011221	1	Bucure?ti 2
Strad?	Rudeanu Teodosie	nr. 1-T	011257	1	Bucure?ti 2
Strad?	Rudeanu Teodosie	nr. 2-36	011258	1	Bucure?ti 2
Strad?	Rudeanu Teodosie	nr. 38-T	011259	1	Bucure?ti 2
Strad?	Petru Maior	nr. 1-73	011261	1	Bucure?ti 2
Strad?	Petru Maior	nr. 75-81	011262	1	Bucure?ti 2
Strad?	Petru Maior	nr. 2-68	011264	1	Bucure?ti 2
Strad?	Petru Maior	nr. 70-80	011265	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 49-T	011293	1	Bucure?ti 2
Strad?	"Coc?r?scu Octav, cpt."	nr. 56-T	011295	1	Bucure?ti 2
