FID_,osm_id,lastchange,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
,1349, ,5115,tertiary,Bulevardul Mircea Eliade,,0,0,0,0,0
,1351, ,5115,tertiary,Calea Floreasca,,0,0,0,0,0
,1467, ,5115,tertiary,Bulevardul Primăverii,,1,0,0,0,0
,1759, ,5122,residential,Strada Răcari,,0,0,0,0,0
,1760, ,5113,primary,Calea Dorobanților,,1,0,0,0,0
,1915, ,5113,primary,Bulevardul Camil Ressu,,1,0,0,0,0
,2955804, ,5115,tertiary,Soseaua Câmpia Libertății,,0,0,0,0,0
,3039872, ,5113,primary,Șoseaua Iancului,,0,0,0,0,0
,3039873, ,5113,primary,Bulevardul Biruinței,DN3,1,0,0,0,0
,3043515, ,5113,primary,Bulevardul Ghencea,,1,0,0,0,0
,3043519, ,5112,trunk,Calea Rahovei,DN6,1,0,0,0,0
,3043520, ,5114,secondary,Strada Mihail Sebastian,,1,0,0,0,0
,3043521, ,5122,residential,Strada Vasile Topliceanu,,0,0,0,0,0
,3043522, ,5115,tertiary,Strada Petre Ispirescu,,0,0,0,0,0
,3058607, ,5113,primary,Șoseaua Pavel Dimitrievici Kiseleff,DN1,1,0,0,0,0
,3116194, ,5122,residential,Strada Iordache Golescu,,0,0,0,0,0
,3116195, ,5122,residential,Strada Gala Galaction,,0,0,0,0,0
,3116196, ,5122,residential,Strada Cluj,,0,0,0,0,0
,3116197, ,5122,residential,Strada Costache Sibiceanu,,0,0,0,0,0
,3116198, ,5122,residential,Strada Sfânta Maria,,1,0,0,0,0
,3116199, ,5113,primary,Bulevardul Ion Mihalache,,0,50,0,0,0
,3118247, ,5113,primary,Bulevardul Iancu de Hunedoara,DJ200B,1,0,0,0,0
,3135629, ,5114,secondary,Bulevardul Poligrafiei,,1,0,0,0,0
,3135630, ,5114,secondary,Strada Jiului,,1,0,0,0,0
,3135633, ,5113,primary,Calea Griviței,,0,60,0,0,0
,3135634, ,5113,primary,Bulevardul Bucureștii Noi,DN1A,1,0,0,0,0
,3135635, ,5122,residential,Strada Echipajului,,0,0,0,0,0
,3136728, ,5122,residential,Strada Gladiolelor,,0,0,0,0,0
,3136729, ,5114,secondary,Șoseaua Snagov,DJ101B,0,0,0,0,0
,3136730, ,5114,secondary,Șoseaua Ghermănești,DJ101B,0,0,0,0,0
,4045770, ,5115,tertiary,Strada Ion Pillat,,0,0,0,0,0
,4045771, ,5113,primary,Piața Unirii,Piața Unirii,1,0,0,0,0
,4045772, ,5113,primary,Bulevardul I. C. Brătianu,DN4,1,0,0,0,0
,4045775, ,5113,primary,Bulevardul Lascăr Catargiu,DN1,1,0,1,0,0
,4045778, ,5122,residential,Strada Postelnicului,,0,0,0,0,0
,4049077, ,5113,primary,Bulevardul Pache Protopopescu,,0,0,0,0,0
,4049079, ,5113,primary,Bulevardul Ferdinand I,,0,50,0,0,0
,4049080, ,5122,residential,Strada Horei,,0,0,0,0,0
,4049081, ,5122,residential,Strada General Dimitrie Salmen,,1,0,0,0,0
,4049082, ,5115,tertiary,Strada Călușei,,0,0,0,0,0
,4049083, ,5122,residential,Strada Cpt. I. Vasilescu,,0,0,0,0,0
,4049148, ,5113,primary,Bulevardul Gheorghe Șincai,,0,0,0,0,0
,4049150, ,5115,tertiary,Strada Cuțitul de Argint,,1,0,0,0,0
,4049153, ,5114,secondary,Strada Constantin Istrati,,0,0,0,0,0
,4059042, ,5122,residential,Strada Icoanei,,1,0,0,0,0
,4059072, ,5122,residential,Strada Mărului,,0,0,0,0,0
,4059073, ,5114,secondary,Strada Apollo,,0,0,0,0,0
,4059074, ,5114,secondary,Bulevardul Dorobanților,DN22B,1,0,0,0,0
,4080286, ,5113,primary,Strada Brăilei,DN23,0,0,0,0,0
,4080288, ,5113,primary,Strada Vlad Țepeș,,0,0,0,0,0
,4080290, ,5113,primary,Strada Mărășești,,1,0,0,0,0
,4080291, ,5113,primary,Drumul Mărășești,,0,0,1,1,0
,4089366, ,5113,primary,Bulevardul Regina Elisabeta,,0,0,0,0,0
,4255379, ,5141,service,Strada Siemens,,0,30,0,0,0
,4255382, ,5122,residential,Str. Eneas,,1,0,0,0,0
,4255383, ,5113,primary,Bulevardul Mihai Viteazul,,1,0,0,0,0
,4255384, ,5113,primary,Aleea Ripensia,,1,30,0,0,0
,4255680, ,5122,residential,Strada Cosminului,,1,0,0,0,0
,4255682, ,5122,residential,Strada Feldioarei,,0,30,0,0,0
,4255683, ,5122,residential,Strada Ghirlandei,,1,0,0,0,0
,4256967, ,5115,tertiary,Strada Ciprian Porumbescu,,0,0,0,0,0
,4256969, ,5113,primary,Strada Cluj,,1,50,0,0,0
,4256970, ,5113,primary,Strada Arieș,,1,50,0,0,0
,4258951, ,5112,trunk,Bulevardul Dr. Iosif Bulbuca,,1,50,0,0,0
,4266125, ,5122,residential,Strada 1 Decembrie 1918,,0,0,0,0,0
,4266872, ,5122,residential,Strada Traian Lalescu,,0,0,0,0,0
,4266873, ,5122,residential,Strada Ioan Curea,,1,0,0,0,0
,4266874, ,5122,residential,Strada Petre Râmneanțu,,1,0,0,0,0
,4266951, ,5114,secondary,Strada Nera,,0,50,0,0,0
,4269226, ,5113,primary,Bulevardul Corneliu Coposu,,1,50,0,0,0
,4269275, ,5115,tertiary,Str. Mareșal Alexandru Averescu,,0,0,0,0,0
,4270844, ,5112,trunk,Calea Șagului,,1,70,1,0,0
,4270871, ,5115,tertiary,Str. Constantin Brâncoveanu,,0,0,0,0,0
,4272312, ,5122,residential,Prof. Dr. Aurel Păunescu Podeanu,,0,50,0,0,0
,4274826, ,5113,primary,Piața Mihail Kogălniceanu,,1,0,0,0,0
,4275033, ,5112,trunk,Bulevardul Iuliu Maniu,,1,0,0,0,0
,4275711, ,5122,residential,Strada Olari,,0,0,0,0,0
