FID_	osm_id	lastchange	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel
	1349	 	5115	tertiary	Bulevardul Mircea Eliade		0	0	0	0	0
	1351	 	5115	tertiary	Calea Floreasca		0	0	0	0	0
	1467	 	5115	tertiary	Bulevardul Primăverii		1	0	0	0	0
	1759	 	5122	residential	Strada Răcari		0	0	0	0	0
	1760	 	5113	primary	Calea Dorobanților		1	0	0	0	0
	1915	 	5113	primary	Bulevardul Camil Ressu		1	0	0	0	0
	2955804	 	5115	tertiary	Soseaua Câmpia Libertății		0	0	0	0	0
	3039872	 	5113	primary	Șoseaua Iancului		0	0	0	0	0
	3039873	 	5113	primary	Bulevardul Biruinței	DN3	1	0	0	0	0
	3043515	 	5113	primary	Bulevardul Ghencea		1	0	0	0	0
	3043519	 	5112	trunk	Calea Rahovei	DN6	1	0	0	0	0
	3043520	 	5114	secondary	Strada Mihail Sebastian		1	0	0	0	0
	3043521	 	5122	residential	Strada Vasile Topliceanu		0	0	0	0	0
	3043522	 	5115	tertiary	Strada Petre Ispirescu		0	0	0	0	0
	3058607	 	5113	primary	Șoseaua Pavel Dimitrievici Kiseleff	DN1	1	0	0	0	0
	3116194	 	5122	residential	Strada Iordache Golescu		0	0	0	0	0
	3116195	 	5122	residential	Strada Gala Galaction		0	0	0	0	0
	3116196	 	5122	residential	Strada Cluj		0	0	0	0	0
	3116197	 	5122	residential	Strada Costache Sibiceanu		0	0	0	0	0
	3116198	 	5122	residential	Strada Sfânta Maria		1	0	0	0	0
	3116199	 	5113	primary	Bulevardul Ion Mihalache		0	50	0	0	0
	3118247	 	5113	primary	Bulevardul Iancu de Hunedoara	DJ200B	1	0	0	0	0
	3135629	 	5114	secondary	Bulevardul Poligrafiei		1	0	0	0	0
	3135630	 	5114	secondary	Strada Jiului		1	0	0	0	0
	3135633	 	5113	primary	Calea Griviței		0	60	0	0	0
	3135634	 	5113	primary	Bulevardul Bucureștii Noi	DN1A	1	0	0	0	0
	3135635	 	5122	residential	Strada Echipajului		0	0	0	0	0
	3136729	 	5114	secondary	Șoseaua Snagov	DJ101B	0	0	0	0	0
	3136730	 	5114	secondary	Șoseaua Ghermănești	DJ101B	0	0	0	0	0
	4045770	 	5115	tertiary	Strada Ion Pillat		0	0	0	0	0
	4045771	 	5113	primary	Piața Unirii	Piața Unirii	1	0	0	0	0
	4045772	 	5113	primary	Bulevardul I. C. Brătianu	DN4	1	0	0	0	0
	4045775	 	5113	primary	Bulevardul Lascăr Catargiu	DN1	1	0	1	0	0
	4045778	 	5122	residential	Strada Postelnicului		0	0	0	0	0
	4049077	 	5113	primary	Bulevardul Pache Protopopescu		0	0	0	0	0
	4049079	 	5113	primary	Bulevardul Ferdinand I		0	50	0	0	0
	4049080	 	5122	residential	Strada Horei		0	0	0	0	0
	4049081	 	5122	residential	Strada General Dimitrie Salmen		1	0	0	0	0
	4049082	 	5115	tertiary	Strada Călușei		0	0	0	0	0
	4049083	 	5122	residential	Strada Cpt. I. Vasilescu		0	0	0	0	0
	4049148	 	5113	primary	Bulevardul Gheorghe Șincai		0	0	0	0	0
	4049150	 	5115	tertiary	Strada Cuțitul de Argint		1	0	0	0	0
	4049153	 	5114	secondary	Strada Constantin Istrati		0	0	0	0	0
	4059042	 	5122	residential	Strada Icoanei		1	0	0	0	0
	4089366	 	5113	primary	Bulevardul Regina Elisabeta		0	0	0	0	0
	4274826	 	5113	primary	Piața Mihail Kogălniceanu		1	0	0	0	0
	4275711	 	5122	residential	Strada Olari		0	0	0	0	0
	4276104	 	5113	primary	Bulevardul Unirii	Bulevardul Unirii	1	0	0	0	0
	4276240	 	5122	residential	Strada Lucăcești		0	0	0	0	0
	4276263	 	5115	tertiary	"Strada Pascal Cristian	 ing."		0	0	0	0	0
	4795634	 	5122	residential	Strada Avrig		1	0	0	0	0
	4865528	 	5114	secondary	Strada Sibiu		1	0	0	0	0
	4865547	 	5122	residential	Strada Carboreanu George		1	0	0	0	0
	4865571	 	5113	primary	Bulevardul Iancu de Hunedoara	DJ200B	1	0	0	0	0
	4865580	 	5113	primary	Piața Romană		1	0	0	0	0
	4865813	 	5113	primary	Splaiul Independenței		1	0	0	0	0
	4865814	 	5113	primary	Splaiul Independenței		1	0	0	0	0
	4865815	 	5113	primary	Splaiul Independenței		1	0	0	0	0
	4865822	 	5113	primary	Splaiul Independenței		1	0	0	0	0
	4865914	 	5114	secondary	Calea Victoriei		1	0	0	0	0
	4865930	 	5113	primary	Podul Națiunilor Unite		1	0	1	1	0
	4866077	 	5113	primary	Parcul Izvorul Rece		1	0	0	0	0
	4902759	 	5115	tertiary	Strada Sfânta Vineri		1	0	0	0	0
	4902766	 	5114	secondary	Piața Gării de Nord		0	0	0	0	0
	4902875	 	5113	primary	Podul Grant		1	0	1	1	0
	4902882	 	5113	primary	Podul Grant		1	40	1	1	0
	4902938	 	5133	primary_link	Calea Crîngași		1	0	0	0	0
	4902939	 	5133	primary_link	Calea Crîngași		1	0	0	0	0
	4902959	 	5113	primary	Pasajul Obor		1	0	-1	0	1
	4902960	 	5113	primary	Pasajul Obor		1	0	-1	0	1
	4970474	 	5115	tertiary	Strada Zboina Neagră		0	0	0	0	0
	4970527	 	5115	tertiary	Strada George Varsan		0	0	0	0	0
	4970705	 	5113	primary	Șoseaua Virtuții		1	0	0	0	0
	4970707	 	5113	primary	Șoseaua Virtuții		1	0	0	0	0
	4970708	 	5113	primary	Pasajul Lujerului		1	0	-1	0	1
	4970717	 	5115	tertiary	Strada Vintilă Mihăilescu		0	0	0	0	0
	4970722	 	5115	tertiary	Calea Crîngași		1	0	0	0	0
	4970723	 	5122	residential	Strada Mehadiei		0	0	0	0	0
	4970726	 	5115	tertiary	Bulevardul Constructorilor		1	0	0	0	0
